Year,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2017,61372,51113,72231,61125,48829,69759,74172,72780,62318,83382,53681,57016,73575,60208,64609,58873,63481,57872,51348,43903,51664,81084,73227,57700,71920,43441,56885,59087,59619,56550,74801,72997,47855,62447,50343,59886,59768,55006,64610,63173,66390,54971,56894,55240,59295,71319,63805,71293,75418,45392,63451,57837
2016,59039,47221,75723,57100,45907,66637,70566,75923,58046,70982,51176,53527,72133,56564,61386,56094,59094,56810,45369,42196,50856,73760,72266,57091,70218,41099,55016,57075,59374,55431,76260,68468,48451,61437,53764,60184,53985,50943,59135,60979,61528,54336,57450,51344,58146,67481,60837,66451,70310,44354,59817,57829
2015,56516,44509,75112,52248,42798,63636,66596,72889,57756,70071,48825,50768,64514,51624,60413,51983,60855,54865,42387,45922,50756,73594,67861,54203,68730,40037,59196,51395,60474,52008,75675,68357,45119,58005,50797,57415,53301,47077,60834,60389,55701,46360,55065,47330,56473,66258,59494,61486,67243,42824,55425,60925
2014,53657,42278,67629,49254,44922,60487,60940,70161,57522,68277,46140,49555,71223,53438,54916,48060,57810,53444,42786,42406,51710,76165,63151,52005,67244,35521,56630,51102,56870,49875,73397,65243,46686,54310,46784,60730,49644,47199,58875,55173,58633,44929,53053,43716,53875,63383,60708,66155,59068,39552,58080,55690
2013,53585,47320,72472,52611,39376,60794,67912,69291,54091,60057,48532,46992,64235,48467,53937,49455,60156,47820,44879,46425,54957,69353,62529,56567,64324,32338,46303,43201,57623,51846,69099,63754,40166,49966,46337,59152,50748,46162,48999,55156,56323,43563,53413,43361,51406,61047,65513,65907,63922,43069,51726,67441
2012,51017,43464,63648,47044,39018,57020,57255,64247,48972,65246,46071,48121,56263,47922,51738,46158,53442,50003,41086,39085,49158,71836,63656,50015,61795,36641,49764,45088,52196,47333,67819,66692,43424,47680,41553,55766,44375,48407,51775,51904,56065,44401,49415,42995,51926,58341,55582,64632,62187,43553,53079,57512
2011,50054,42590,57431,48621,41302,53367,58629,65415,54660,55251,45105,45973,59047,47459,50637,44445,50219,46147,39856,40658,49693,68876,63313,48879,57820,41090,45774,40277,55616,47043,65880,62338,41982,50636,45206,56361,44648,48455,51526,49910,49033,40084,47223,42279,49047,55493,51862,62616,56850,41821,52058,54509
2010,49276,40933,57848,46896,38587,54283,60233,65998,55214,56928,44066,44117,59539,47050,50728,46139,49016,46054,41104,39300,47931,64201,60934,46276,52321,38160,45817,41280,52504,51200,66633,62968,45134,49781,43830,51006,45886,43103,50602,48314,51623,41698,45352,38591,47266,56701,55928,60367,56163,42777,50351,52201
2009,49777,39980,61604,45739,36538,56134,55930,64851,52114,53141,45631,43340,55649,46778,52870,44305,50721,44717,42664,45433,47502,64186,59373,45994,56090,35078,48769,40437,49595,51434,64131,64777,43542,50216,41906,50075,45879,45878,49098,48172,51634,41101,45826,40517,47475,58491,52318,60501,60392,40490,51237,52470
2008,50303,44476,63989,46914,39586,57014,60943,64682,50702,55590,44857,46227,61521,47420,53254,46520,50142,47877,41148,39563,47228,63711,60320,49788,54925,36446,46038,42900,50728,54744,66176,65306,42102,50461,42930,49631,46934,46111,51727,51402,53241,42155,51600,39702,46490,62537,50706,61985,56631,37994,51200,53337
2007,50233,42212,62993,47215,40795,55734,61141,64141,54589,50783,45794,48641,64022,49184,52506,47453,48908,48497,39452,41313,47894,65630,58463,49370,58058,37279,46005,43655,49174,54058,67576,60508,44356,48944,43513,47205,49099,43216,50236,48437,54210,44213,46418,41195,46053,53529,47390,59161,58080,42091,51277,48744
2006,48201,37952,56418,46657,37057,55319,55697,62404,52438,48477,45676,49344,60470,46213,48671,45407,48126,45552,39485,36488,45642,63668,55330,48647,56211,34733,44579,41105,48145,52282,61970,68059,40028,48222,39797,41047,45900,38838,47091,48477,53736,39617,45427,40693,43307,54628,51981,57119,54723,38419,51692,47041
2005,46326,37150,55891,45245,36658,51755,50449,56835,51235,44993,42990,45926,59586,44176,48398,42437,46500,42027,36699,37236,43923,60512,56017,45933,54215,32875,42986,37313,47923,48209,56984,63368,38947,47176,42056,42192,44203,37645,44159,46300,49484,40230,43151,39406,41422,54813,50704,51914,50646,36445,44650,44718
2004,44334,36629,55063,43846,34984,49222,50886,55100,48049,43451,40535,40984,56242,44358,46077,42329,43391,41066,35610,36429,41329,57103,52019,42256,56104,34755,42137,33956,43786,47204,56815,55275,39562,44649,40238,39220,43055,39614,40994,44106,47935,38691,41107,38072,41397,50871,47329,51141,49922,33373,45732,45397
2003,43318,37255,51837,41166,32002,49300,49940,54965,49019,45044,38972,42438,51834,42372,45153,42425,41384,44232,36936,33507,37113,52314,50955,45022,52823,32728,43762,34108,43974,45184,55567,56045,35105,42788,37279,40410,43520,35902,41638,42933,44711,38479,39522,37523,39271,49275,43261,54783,47508,32763,46269,42555
2002,42409,37603,52774,39734,32387,47437,48294,53387,49650,39070,38024,42939,47303,37715,42710,41047,41049,42619,36762,34008,36853,56407,49855,42715,54622,30882,42776,34835,42796,44958,55321,54568,35457,41966,36515,36200,42684,36458,41802,42498,42417,37812,37873,37030,40149,47861,42999,49631,45183,29359,45903,39763
2001,42228,35160,57363,42704,33339,47262,49397,53347,49602,41169,36421,42576,47439,38241,46171,40379,40976,41415,38437,33322,36612,53530,52253,45047,52681,30161,41339,32126,43611,45403,51331,51771,33124,42114,38162,35793,41785,35609,41273,43499,45723,37736,39671,35783,40860,47342,40794,50241,42490,29673,45346,39719
2000,41990,35424,52847,39783,29697,46816,48240,50172,50365,41222,38856,41901,51546,37611,46064,40865,40991,41059,36265,30718,37266,54535,46753,45512,54251,34299,45097,32777,41750,45758,50926,50405,35093,40744,38317,35996,42962,32432,42499,42176,42197,37570,36475,34096,38609,47550,39594,47163,42525,29411,45088,39629
1999,40696,36251,51396,36995,29682,43629,48177,50593,46628,38670,35831,39425,44504,35800,46330,40838,41098,37348,33738,32654,38862,52205,44005,46089,47038,32478,41383,31038,38626,41461,46055,49734,32574,39989,37254,32663,39489,32683,40619,37758,42719,36462,35828,36522,38688,46050,41584,45693,45473,29297,45667,37248
1998,38885,36266,50692,37090,27665,40934,46599,46508,41458,33433,34909,38665,40827,36680,43178,39731,37019,36711,36252,31735,35640,50016,42345,41821,47926,29120,40201,31577,36413,39756,44958,49826,31543,37394,35838,30304,38925,33727,39067,39015,40686,33267,32786,34091,35783,44299,39372,43354,47421,26704,41327,35250
1997,37005,31939,47994,32740,26162,39694,43233,43985,43033,31860,32455,36663,40934,33404,41283,38889,33783,36471,33452,33260,32772,46685,42023,38742,42564,28499,36553,29212,34692,38854,40998,48021,30086,35798,35840,31661,36134,31351,37247,37517,34797,34262,29694,30636,35075,42775,35053,42957,44562,27488,39595,33423
1996,35492,30302,52779,31637,27123,38812,40950,42119,39309,31966,30641,32496,41772,34709,39554,35147,33209,32585,32413,30262,34696,43993,39494,39225,40991,26677,34265,28684,34014,38540,39407,47468,25086,35410,35601,31470,34070,27437,35492,34899,36986,34665,29526,30790,33072,37038,32358,39211,36676,25247,40001,30953
1995,34076,25991,47954,30863,25814,37009,40706,40243,34928,30748,29745,34099,42851,32676,38071,33385,35519,30341,29810,27949,33858,41041,38574,36426,37933,26538,34825,27757,32929,36084,39171,43924,25991,33028,31979,29089,34941,26311,36374,34524,35359,29071,29578,29015,32039,36480,33824,36222,35568,24880,40955,31529
1994,32264,27196,45367,31293,25565,35331,37833,41097,35873,30116,29294,31467,42255,31536,35081,27858,33079,28322,26595,25676,30316,39198,40500,35284,33644,25400,30190,27631,31794,35871,35245,42280,26905,31899,30114,28278,31855,26991,31456,32066,31928,29846,29733,28639,30755,35716,35802,37647,33533,23564,35388,33140
1993,31241,25082,42931,30510,23039,34073,34488,39516,36064,27304,28550,31663,42662,31010,32857,29475,28663,29770,24376,26312,27438,39939,37064,32662,33682,22191,28682,26470,31008,35814,37964,40500,26758,31697,28820,28118,31285,26260,33138,30995,33509,26053,27737,25102,28727,35786,31065,36433,35655,22421,31766,29442
1992,30636,25808,41802,29358,23882,34903,32484,40841,35678,30247,27349,28797,42113,27704,31551,28530,28743,30346,23485,25439,29617,37203,36359,32267,30981,20570,27361,26525,30048,31908,39436,39000,25860,31051,27771,26959,31404,25284,31927,29882,30432,27578,26259,24318,27953,34251,32755,38198,33900,20271,33308,30209
1991,30126,24346,40612,30737,23435,33664,31499,42154,32585,29885,27252,27212,37246,26116,31884,27089,28553,29295,23764,25299,27868,36952,35714,32117,29479,19475,27926,24827,29549,32937,36032,40049,26540,31794,26853,25892,29790,25462,30190,30367,30836,27463,24639,24453,27733,28016,29155,36137,33970,23147,31133,29050
1990,29943,23357,39298,29224,22786,33290,30733,38870,30804,27392,26685,27561,38921,25305,32542,26928,27288,29917,24780,22405,27464,38857,36247,29937,31465,20178,27332,23375,27482,32023,40805,38734,25039,31591,26329,25264,30013,24384,29281,29005,31968,28735,24571,22592,28228,30142,31098,35073,32112,22137,30711,29460
1989,28906,21284,36006,28552,21433,33009,26806,42321,32068,26752,26085,27542,35035,24654,31300,25898,26265,26862,23283,22861,28221,36016,36086,30775,30185,19917,26497,23692,26319,29340,37532,39120,22602,31496,26406,25229,29021,23667,28529,28690,30124,23798,24108,22611,25886,30717,31295,34118,31961,21677,29123,29521
1988,27225,19948,33103,26435,20172,30287,26214,36213,30505,26741,25406,26566,33024,23450,29524,26293,24305,25566,19907,20497,26402,36552,33213,29472,29087,18166,23443,22231,25159,27983,34625,36287,19296,28915,24415,24092,27740,23667,27748,26742,29842,25533,22294,20856,24963,26313,28988,32648,32327,19353,29575,26419
1987,26061,19734,33233,26749,18827,30146,26476,32862,29244,27455,24489,26714,35022,20755,27084,22519,22190,25583,20673,21349,23600,34970,32241,27702,28082,18513,23720,20474,23268,26878,32338,34241,20758,26384,22760,22576,25773,21691,25038,25424,28292,25049,21151,21179,24721,26529,25415,29996,27319,17207,26369,27590
1986,24897,19132,31356,25500,18730,29010,27192,32721,25626,24322,22849,24370,29003,20749,26511,22728,22459,23926,19874,20890,23424,30604,30339,26605,26443,16513,21925,20328,21772,26217,30548,31715,19845,25025,21861,21508,25115,20948,24773,23807,26540,21968,19898,18256,24162,26281,24599,29715,26881,16464,26430,23559
1985,23618,18333,34782,23877,17451,26981,28182,31090,22980,21076,21343,21049,28961,20761,24870,22675,20927,22788,17361,21179,20519,30136,28207,24242,23856,16413,21939,20236,21799,23274,26403,30980,20423,23639,21451,21205,25174,21205,21894,22877,24625,20036,18142,17778,23743,25238,26000,28429,24000,15983,23246,22081
1984,22415,17310,32356,21425,15674,25287,25801,29951,25819,20408,19785,19984,28877,21092,23752,22770,19863,24629,17680,18949,20648,29708,26959,22965,24436,15430,20775,19536,21397,25776,25914,27776,20630,22027,20569,20771,23123,21148,21399,20346,21612,20309,19409,16782,23024,23057,22578,26525,25017,16843,20743,23816
